iter	Logloss
0	0.6771812003
1	0.6575005731
2	0.6442671233
3	0.6268836889
4	0.61371852
5	0.6001304069
6	0.5884529094
7	0.5803307371
8	0.5694963258
9	0.5568877554
10	0.5458621705
11	0.5353988967
12	0.5281753587
13	0.5212020263
14	0.5147003588
15	0.5071819979
16	0.5012398303
17	0.4960199706
18	0.4908219048
19	0.4862588434
20	0.4813165353
21	0.4771171474
22	0.4722643854
23	0.4682346199
24	0.4644496702
25	0.461238611
26	0.4571358591
27	0.4526696672
28	0.4486758732
29	0.4460746722
30	0.4449198874
31	0.4410549121
32	0.4371769057
33	0.4352113413
34	0.4343531373
35	0.4315947333
36	0.4291725137
37	0.4272053544
38	0.425619145
39	0.4229301591
40	0.421280141
41	0.4183358085
42	0.4159745052
43	0.4135491333
44	0.4123945196
45	0.4117973634
46	0.4108210524
47	0.4095994113
48	0.4090179274
49	0.4083953087
50	0.406598551
51	0.4061510576
52	0.4052130577
53	0.4039466453
54	0.4026853688
55	0.4019180313
56	0.4002490483
57	0.3989966038
58	0.3974691383
59	0.3959471135
60	0.3939564758
61	0.3931136698
62	0.3924593557
63	0.3917796551
64	0.3912799102
65	0.3901974803
66	0.3898557906
67	0.3888111606
68	0.3874874925
69	0.3864915358
70	0.3863747832
71	0.384989667
72	0.3841754154
73	0.3834290159
74	0.3824477052
75	0.3819409404
76	0.3807182213
77	0.3799641002
78	0.3790258986
79	0.3779300636
80	0.3774407726
81	0.3762032038
82	0.3759414687
83	0.3751271415
84	0.374109735
85	0.3733466661
86	0.3725028947
87	0.3716857517
88	0.3710566553
89	0.3705015395
90	0.3702713628
91	0.3695422956
92	0.3692589138
93	0.3685374064
94	0.3677557771
95	0.3675903784
96	0.3669979584
97	0.3664416985
98	0.3659610441
99	0.3651423149
100	0.3647431076
101	0.3641433255
102	0.3635782733
103	0.3626363385
104	0.3621591804
105	0.3620165776
106	0.361288133
107	0.3601114555
108	0.3594298202
109	0.3590406366
110	0.3582598046
111	0.3580236515
112	0.3576416543
113	0.3571094994
114	0.3567682362
115	0.3560950112
116	0.3553480847
117	0.3551455416
118	0.3547641088
119	0.3542994524
120	0.3540419841
121	0.3533846467
122	0.3528591168
123	0.3526669216
124	0.3521938304
125	0.3519841951
126	0.3515417613
127	0.3512189985
128	0.350848432
129	0.3503064469
130	0.3498404616
131	0.3490045061
132	0.3483359314
133	0.3480089009
134	0.3476754871
135	0.3474254179
136	0.3470908566
137	0.3468779652
138	0.346871259
139	0.3463086187
140	0.3459972631
141	0.3457559996
142	0.344976112
143	0.3445139418
144	0.3441847672
145	0.3439006118
146	0.3433989587
147	0.3429794553
148	0.3428671642
149	0.3428589701
150	0.3426132447
151	0.34200561
152	0.3414395523
153	0.3413214422
154	0.3410567439
155	0.3406781463
156	0.340442919
157	0.3395474738
158	0.3392960774
159	0.3387256621
160	0.3385573547
161	0.3380634869
162	0.3374979613
163	0.3369924801
164	0.3365388245
165	0.3361052578
166	0.3355397645
167	0.3352719825
168	0.3347500081
169	0.3343449105
170	0.3338051946
171	0.3335117368
172	0.3330717379
173	0.3326839482
174	0.3321205513
175	0.3316817961
176	0.3314633755
177	0.3308888032
178	0.3306084427
179	0.3301923067
180	0.3297858292
181	0.3294576214
182	0.3291222077
183	0.3288962647
184	0.3286023388
185	0.3281204127
186	0.3278709266
187	0.327045782
188	0.3269176818
189	0.326531323
190	0.3264742619
191	0.3261557155
192	0.3255839422
193	0.3253046205
194	0.3248250746
195	0.3245271882
196	0.3240238805
197	0.3239375301
198	0.3237185126
199	0.3235630302
200	0.3229922558
201	0.3227515351
202	0.3225291409
203	0.3223755477
204	0.3219598513
205	0.3216341826
206	0.3215083144
207	0.3211639031
208	0.3208409399
209	0.3204432972
210	0.320292891
211	0.3199276106
212	0.3194014459
213	0.3189843556
214	0.3187649398
215	0.3184009816
216	0.3180927003
217	0.3179498457
218	0.3176545064
219	0.3172690996
220	0.3170976089
221	0.3168028461
222	0.3164955611
223	0.3159897126
224	0.3156213807
225	0.3154093609
226	0.3150837945
227	0.3146815085
228	0.314537107
229	0.3143349931
230	0.3140039759
231	0.3135614985
232	0.3132477263
233	0.3128532428
234	0.3124694683
235	0.3119302728
236	0.3118543025
237	0.3115954037
238	0.3113728441
239	0.3111152924
240	0.3106600755
241	0.3104093742
242	0.3100915871
243	0.3099911713
244	0.309811903
245	0.3096308916
246	0.3092297455
247	0.3087168914
248	0.3080898766
249	0.3076800831
250	0.3074672812
251	0.3072582267
252	0.3070321593
253	0.3064311386
254	0.3061146854
255	0.3059514836
256	0.3056898848
257	0.3055080445
258	0.3049534464
259	0.3048261573
260	0.3044713556
261	0.3038237839
262	0.3034438245
263	0.3032419755
264	0.3030646887
265	0.3028991745
266	0.3026519596
267	0.30227096
268	0.30186176
269	0.3015994077
270	0.3014408801
271	0.3013583524
272	0.3011488844
273	0.3009323819
274	0.3007308625
275	0.3005383508
276	0.3002019656
277	0.2999541726
278	0.2996850819
279	0.2993645806
280	0.2990884305
281	0.2987037413
282	0.2985295046
283	0.2981098862
284	0.2978930467
285	0.2975535698
286	0.2971301478
287	0.2968197382
288	0.2965396058
289	0.2963535641
290	0.2960747475
291	0.2959178228
292	0.2955416818
293	0.2950150162
294	0.2946970376
295	0.2945447032
296	0.2941732702
297	0.2940080052
298	0.2937490434
299	0.2933669717
