iter	Passed	Remaining
0	1	485
1	3	477
2	4	444
3	5	431
4	7	415
5	8	421
6	10	419
7	11	418
8	12	420
9	14	420
10	15	420
11	19	463
12	21	465
13	22	461
14	24	462
15	25	459
16	27	454
17	28	453
18	30	449
19	32	449
20	34	454
21	35	450
22	37	448
23	38	445
24	40	440
25	41	437
26	42	434
27	44	430
28	45	425
29	47	430
30	48	425
31	50	421
32	51	418
33	53	417
34	54	413
35	56	410
36	57	409
37	59	407
38	60	404
39	61	402
40	64	404
41	65	404
42	67	403
43	68	401
44	70	399
45	72	397
46	73	397
47	75	397
48	77	396
49	78	393
50	80	391
51	81	389
52	82	386
53	84	383
54	85	379
55	86	376
56	87	373
57	88	371
58	90	368
59	91	367
60	94	368
61	96	368
62	97	366
63	98	365
64	100	362
65	101	360
66	103	359
67	104	357
68	106	356
69	108	355
70	109	352
71	110	351
72	112	350
73	114	349
74	116	349
75	117	347
76	119	345
77	120	343
78	122	341
79	123	340
80	125	339
81	127	337
82	128	335
83	129	333
84	130	331
85	132	328
86	133	326
87	134	324
88	136	322
89	137	320
90	138	319
91	140	318
92	142	317
93	144	316
94	146	315
95	147	313
96	148	311
97	150	309
98	151	306
99	152	304
100	153	302
101	155	301
102	156	300
103	158	298
104	159	295
105	160	293
106	161	291
107	162	288
108	163	286
109	164	283
110	165	281
111	166	279
112	167	277
113	168	274
114	170	273
115	171	272
116	173	270
117	174	269
118	176	267
119	177	265
120	178	263
121	179	261
122	180	259
123	181	257
124	182	255
125	183	253
126	185	252
127	187	251
128	188	249
129	189	247
130	190	245
131	191	243
132	192	242
133	193	240
134	195	238
135	196	236
136	197	234
137	198	233
138	199	230
139	201	230
140	203	229
141	204	227
142	206	226
143	207	224
144	208	222
145	209	220
146	210	219
147	212	217
148	213	216
149	214	214
150	216	213
151	218	212
152	219	210
153	220	209
154	221	207
155	222	205
156	223	203
157	224	201
158	225	199
159	226	198
160	227	196
161	228	194
162	229	192
163	232	192
164	233	191
165	234	189
166	236	188
167	237	186
168	238	184
169	239	183
170	241	181
171	242	180
172	243	178
173	244	177
174	246	176
175	248	175
176	250	173
177	251	172
178	253	171
179	254	169
180	255	168
181	257	166
182	258	165
183	261	165
184	263	163
185	264	162
186	266	160
187	267	159
188	268	157
189	269	155
190	270	154
191	271	152
192	273	151
193	273	149
194	275	148
195	277	147
196	279	146
197	280	144
198	282	143
199	283	141
200	284	140
201	285	138
202	286	136
203	287	135
204	288	133
205	289	132
206	291	130
207	292	129
208	294	128
209	295	126
210	296	125
211	297	123
212	298	122
213	299	120
214	300	118
215	301	117
216	302	115
217	304	114
218	305	112
219	308	112
220	309	110
221	311	109
222	312	107
223	313	106
224	314	104
225	315	103
226	316	101
227	317	100
228	318	98
229	319	97
230	320	95
231	321	94
232	323	93
233	325	91
234	326	90
235	327	88
236	328	87
237	329	85
238	330	84
239	331	82
240	332	81
241	333	79
242	334	78
243	335	77
244	336	75
245	338	74
246	340	73
247	341	71
248	343	70
249	344	68
250	345	67
251	346	65
252	347	64
253	348	63
254	349	61
255	350	60
256	351	58
257	354	57
258	356	56
259	357	55
260	359	53
261	360	52
262	361	50
263	363	49
264	364	48
265	366	46
266	367	45
267	369	44
268	371	42
269	373	41
270	374	40
271	375	38
272	376	37
273	377	35
274	378	34
275	380	33
276	381	31
277	382	30
278	384	28
279	385	27
280	387	26
281	388	24
282	390	23
283	391	22
284	392	20
285	393	19
286	395	17
287	396	16
288	397	15
289	398	13
290	400	12
291	401	11
292	403	9
293	405	8
294	406	6
295	407	5
296	408	4
297	409	2
298	410	1
299	411	0
